word,frequency
aaaay,1
aabang,2
aabangan,1
aabot,12
aabsent,1
aabugado,1
aabuso,7
aabutin,9
aadik,1
aadjust,1
aadvice,1
aafia,4
aagawaw,1
aagawin,1
aakalang,1
aakit,1
aako,1
aakusahan,1
aakyat,2
aakyatin,3
aalaala,1
aalaga,2
aalagaan,3
aalagan,1
aalahanin,1
aalala,5
aalalahanin,1
aalalayan,1
aalinlangan,2
aalis,31
aalisin,5
aaliwin,1
aalukin,2
aamin,2
aandar,3
aanhin,1
aani,1
aanihin,1
aanounce,1
aantay,2
aanunsyo,1
aaprubahan,1
aaral,5
aarala,1
aaralang,1
aarawan,1
aarestuhin,2
aasahan,4
aasar,2
aasarin,1
aasawahin,1
aasenso,1
aasikaso,1
aasim,2
aasnan,1
aasrud,1
aassume,1
aatakihin,2
aatas,1
aatupagin,3
aaway,2
aawayin,1
aawit,6
aawitin,2
aayaw,1
aayos,1
aayusin,3
abadilla,2
abadin,1
abala,7
abalahin,4
abalang,6
abalangabala,1
abangan,6
abangers,1
abante,4
abay,4
abdelbaset,1
abdirahim,1
abdiyare,1
abdulmutallab,1
abedayor,1
abenida,1
abentura,1
abialbon,1
abias,4
abidan,1
abiezer,1
abilidad,5
abimael,2
abiso,3
abisua,1
abisuhan,1
abnormalidad,1
abnoy,1
abogadong,2
abogasya,2
abokado,3
abolisyon,1
abong,2
aborsyon,2
abortionista,1
abotlangit,1
abott,2
abrilhunyo,1
abrona,2
absasyon,2
abscafe,1
abscbn,2
absens,1
abswelto,1
abugado,12
abugasya,1
abukado,1
abukadoy,1
abuloy,1
abunjing,2
aburido,9
abusado,3
abusong,1
abutan,1
abutin,7
abyasyon,3
acacua,1
acads,4
acccidents,1
accla,2
accordex,1
accre,1
aceca,1
achaz,2
achimaas,1
achsaph,1
actorpolitician,1
acuh,1
acul,1
adada,1
adaias,1
adarna,15
adbokasiya,3
adesile,1
adhika,1
adhikang,1
adipokine,1
aditibong,1
adix,3
administrasyon,22
administrasyong,5
administratibo,1
adminstrador,1
admirasyon,1
admu,3
adobong,4
adobs,1
adonias,1
adopsyon,1
adoraim,1
adoram,1
adosilog,5
adow,2
adullam,3
adunay,1
adwana,1
adyenda,2
aequituberculata,2
aerodynamical,1
aeroflotnord,1
aespa,1
aeta,1
afghanista,1
aftiee,1
agadagad,7
agadan,2
agahan,8
agahang,1
agamagam,1
agang,1
agapang,1
agarang,6
agaw,1
agawan,1
agawin,1
agendang,1
agentomen,1
agham,42
aghambuhay,1
agiging,1
aginaldo,1
agliotti,3
agoncillo,1
agresibo,1
agresibong,5
agrikultura,23
agrikultural,2
aguedo,1
aguido,1
agunyas,1
agurihonda,1
agusto,2
aguy,1
agwat,3
ahalia,1
ahedres,1
ahensiya,26
ahensiyang,2
ahensya,42
ahensyang,1
ahente,8
ahia,1
ahiezer,1
ahijas,1
ahinadab,1
ahio,2
ahira,1
ahiruddin,1
ahit,2
ahlehadith,2
ahoa,1
ahohita,1
aholibama,1
ahyla,3
ailon,1
airconpagpapawisan,1
airlifter,2
aisea,1
aiz,1
aiza,3
ajenjo,1
akademiko,1
akademikong,3
akademiya,1
akademya,1
akademyang,1
akagawa,1
akalain,6
akalaing,3
akalang,2
akalay,1
akasya,1
akaunt,1
akaunting,1
akawnt,2
akda,10
akdang,7
akembang,1
aketchimae,1
akinglee,1
akingmalapit,1
akinse,1
akinyan,1
akitin,2
akitingin,1
aklanon,1
aklat,115
aklatan,8
aklatang,1
aklataralin,2
aklattalaan,1
akobash,1
akobigyan,1
akoglee,1
akoh,1
akohiya,1
akokami,1
akokulang,1
akomasyado,1
akoso,1
akot,1
akoy,126
aksaya,4
aksayahan,1
aksayahin,1
aksento,4
akses,5
aksidente,56
aksidenteng,3
aksis,1
aksiyon,5
aksyon,39
aksyonan,1
aksyong,2
aktibidad,11
aktibidades,6
aktibismo,2
aktibista,12
aktibistang,5
aktibo,14
aktibong,39
aktibot,1
aktong,3
aktor,12
aktres,2
aktris,1
aktuwal,2
aktwal,7
akusado,7
akusasyon,7
akusasyong,2
akusatibo,1
akuwakultura,1
akwaryo,1
akwaryum,1
akwatikong,1
akwtal,1
akyat,4
akyatin,2
alaala,8
alabok,2
alabong,1
alaga,5
alagaan,10
alagad,6
alagang,3
alahas,9
alak,44
alaksandar,1
alala,2
alalahanin,17
alalahaning,1
alalay,1
alalayan,1
alaman,3
alamang,1
alangalang,1
alangan,2
alangang,1
alanganin,3
alaqsa,1
alasdos,1
alaskado,1
alasnh,1
alasotso,2
alassad,4
alassais,1
alassingko,1
alassiyete,1
alauna,2
alaxan,1
albarikoke,1
albolaryo,1
albotaeniata,2
albrige,1
aldaw,1
aldujail,1
alegasyon,14
alegasyong,2
aleksandrya,1
aleluya,1
alemago,1
alemang,1
alemanya,34
alerdyik,8
alerhiya,1
alerto,4
alessandrello,1
alfakhora,2
algang,1
algarismo,1
algoritmo,1
alhebra,1
aliasme,1
alibata,1
aligasyon,1
aligi,1
alikabok,11
alilang,3
alimango,1
alimasag,1
alindog,1
aling,54
alingawngaw,3
alinlangan,4
alinlangang,1
alinman,15
alinmang,10
alinsangan,1
alinsunod,3
alintana,1
alintuntunin,1
alionycteris,1
alipin,8
alipunga,2
aliraqiya,3
alisan,1
alisin,31
alitan,9
alitaptap,1
alituntunin,13
alituntuning,1
aliw,4
aliybinago,1
aliyenihena,1
aljazeeranet,1
aljur,1
alkalde,24
alkaldeng,1
alkila,1
allback,1
allenstevenson,1
allibi,1
allingi,1
allspark,1
almaliki,4
almario,2
almasalmyiah,1
almasri,1
almeghari,1
almegrahi,5
alminium,1
alminyo,4
almondiblathaim,1
almullah,1
almusal,21
almusalin,1
almussawi,1
alng,1
alokasyon,1
aloya,1
alpabeto,2
alpabetong,1
alpombra,1
alqaeda,5
alqanoon,1
alquaeda,1
alqusayr,1
alsaray,1
alsayed,2
alshehri,2
altamimi,1
altarboy,1
altematibo,1
alternatibo,4
alternatibong,6
alternicks,1
althawra,1
altintop,1
altitud,1
altnick,3
altnicks,1
altruismo,1
alukin,1
alveopora,4
alyana,1
alyansa,2
alyansang,1
alyenihena,5
alzarqawi,1
amaamahan,1
amahan,1
amam,1
amang,2
amarias,4
ambag,7
ambagal,2
ambasador,4
ambato,1
ambersa,1
ambibilis,1
ambisyon,1
ambisyosong,1
ambobo,1
ambrosyo,1
ambulansiya,3
ambulansya,11
ameleensy,1
amerikana,3
amerikano,55
amerikanong,13
amerikanoy,1
amerikas,1
amfness,1
amigong,1
aminadab,2
aminado,5
aminadong,1
aminin,5
ammff,1
ammisaddai,1
amnestiya,1
amnesya,1
amobaka,1
amoguis,1
amorebieta,1
amorrheo,3
ampalaya,6
ampalayeridadown,1
ampanget,2
ampaw,3
ampibyo,1
ampliato,1
ampogi,2
ampoloquio,2
ampon,1
ampota,15
ampotek,3
ampteam,1
amputa,16
amputek,1
amunisyon,2
amuyong,1
anaarath,1
anab,1
anacropora,2
anaesthesiologists,1
anaias,1
anakalap,1
anakan,1
anakutak,2
analatiko,2
analohiya,1
analyn,1
anang,9
ananiah,1
anarchonaturism,1
anathoth,2
anathothita,1
anatomista,1
anay,2
andalous,1
andami,5
andaming,5
andito,12
andiyaan,2
andiyan,9
andoks,1
andoon,7
andreo,1
andrielle,1
androphore,1
androphores,1
andun,3
andwang,1
aneks,1
anekwaboom,1
aneng,1
angaw,2
angee,1
angelvoice,2
angg,1
angge,1
anggulo,3
anghang,1
anghit,1
angisang,1
angkakailanganin,1
angkas,1
angkat,1
angkin,1
angking,3
angkinin,1
angkla,1
angkol,1
angkop,10
anglonormando,1
anglopono,1
anglosahon,1
anglosakson,1
angsigalutan,1
anhul,2
anibersaryo,10
anibersaryong,1
anibersayo,1
anichebe,1
anichebee,1
anilay,1
animadong,4
animismo,1
animista,3
animna,1
animnapung,3
animnaput,1
animnaputwalo,1
animoy,2
aninag,1
aninong,3
anipoyt,1
anito,7
anivv,1
aniya,38
aniyang,1
anlakas,2
anlala,1
anoano,1
anoanong,2
anoh,1
anomalya,2
anoman,1
anomang,3
anonymomys,1
ansabi,1
ansakit,4
ansama,1
anstralya,1
answerscom,4
answerscoms,1
antabay,1
antagal,3
antarktikang,1
antay,3
antelo,5
anthocercis,1
anthothias,1
antibiotiko,1
antigong,8
antinganting,1
antisecession,1
antisipasyon,1
antok,20
antolohiya,1
antractica,1
antropologo,1
antropolohiya,1
antukin,1
anuano,6
anuanong,2
anuman,26
anumang,99
anung,6
anunsiyo,2
anunsyo,20
anunsyong,1
anupaman,3
anyayahan,2
anyong,77
anyos,14
apaputok,1
aparador,7
aparatong,2
aparri,1
apartido,1
apat,149
